"biosphere","parameter_label","n","n_outliers_iqr","pct_outliers"
"Kruger 2 Canyons BR","Air temperature (°C)",275,6,2.18181818181818
"Marico BR","Air temperature (°C)",8,0,0
"Vhembe BR","Air temperature (°C)",112,0,0
"Marico BR","Dissolved oxygen (mg/L)",8,1,12.5
"Vhembe BR","Dissolved oxygen (mg/L)",100,12,12
"Kruger 2 Canyons BR","Dissolved oxygen (mg/L)",122,9,7.37704918032787
"Marico BR","Electrical conductivity (µS/cm)",8,3,37.5
"Kruger 2 Canyons BR","Electrical conductivity (µS/cm)",275,18,6.54545454545455
"Vhembe BR","Electrical conductivity (µS/cm)",111,6,5.4054054054054
"Kruger 2 Canyons BR","pH",259,13,5.01930501930502
"Vhembe BR","pH",111,5,4.5045045045045
"Marico BR","pH",8,0,0
